Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
United Kingdom,GBR,1881,312.312032,311.60488,0.707152,0,,0,,8.939803
United Kingdom,GBR,1882,314.964768,314.250288,0.71448,0,,0,,8.946338
United Kingdom,GBR,1883,327.730144,326.887424,0.84272,0,,0,,9.244856
United Kingdom,GBR,1884,319.09776,318.463881,0.633879,0,,0,,8.932308
United Kingdom,GBR,1885,315.290864,314.404176,0.886688,0,,0,,8.754432
United Kingdom,GBR,1886,312.42928,311.575568,0.853712,0,,0,,8.603786
United Kingdom,GBR,1887,320.442448,319.515456,0.926992,0,,0,,8.755737
United Kingdom,GBR,1888,333.16752,332.035344,1.132176,0,,0,,9.033582
United Kingdom,GBR,1889,345.024224,343.789456,1.234768,0,,0,,9.280333
United Kingdom,GBR,1890,353.022736,351.762307,1.260429,0,,0,,9.417707
United Kingdom,GBR,1891,360.471648,358.90712,1.564528,0,,0,,9.535782
United Kingdom,GBR,1892,353.00808,351.447216,1.560864,0,,0,,9.257043
United Kingdom,GBR,1893,316.210528,314.35288,1.857648,0,,0,,8.215394
United Kingdom,GBR,1894,362.102128,360.149196,1.952932,0,,0,,9.318359
United Kingdom,GBR,1895,365.549952,363.428475,2.121477,0,,0,,9.320261
United Kingdom,GBR,1896,375.98136,373.705994,2.275366,0,,0,,9.494719
United Kingdom,GBR,1897,385.969424,383.745376,2.224048,0,,0,,9.652373
United Kingdom,GBR,1898,386.878096,384.247369,2.630727,0,,0,,9.580696
United Kingdom,GBR,1899,414.552288,411.676048,2.87624,0,,0,,10.167324
United Kingdom,GBR,1900,419.740512,416.684736,3.055776,0,,0,,10.199016
United Kingdom,GBR,1901,410.701424,407.660304,3.04112,0,,0,,9.887366
United Kingdom,GBR,1902,426.639824,423.224976,3.414848,0,,0,,10.184036
United Kingdom,GBR,1903,429.985056,426.559216,3.42584,0,,0,,10.178125
United Kingdom,GBR,1904,431.992928,428.372896,3.620032,0,,0,,10.138061
United Kingdom,GBR,1905,437.672128,434.077744,3.594384,0,,0,,10.182921
United Kingdom,GBR,1906,453.350384,449.763328,3.587056,0,,0,,10.455257
United Kingdom,GBR,1907,473.568336,469.922656,3.64568,0,,0,,10.827636
United Kingdom,GBR,1908,461.964448,457.846112,4.118336,0,,0,,10.469687
United Kingdom,GBR,1909,466.086448,461.795904,4.290544,0,,0,,10.469148
United Kingdom,GBR,1910,469.732128,465.591808,4.14032,0,,0,,10.458013
United Kingdom,GBR,1911,481.350672,476.968528,4.382144,0,,0,,10.633354
United Kingdom,GBR,1912,455.885872,450.921152,4.96472,0,,0,,10.035792
United Kingdom,GBR,1913,498.32232,492.470912,5.851408,0,,0,,10.916391
United Kingdom,GBR,1914,483.182672,475.433312,7.74936,0,,0,,10.492794
United Kingdom,GBR,1915,489.481088,482.427888,7.0532,0,,0,,10.56282
United Kingdom,GBR,1916,507.071952,501.660224,5.411728,0,,0,,10.901491
United Kingdom,GBR,1917,501.169248,491.26172,9.907528,0,,0,,10.751475
United Kingdom,GBR,1918,466.84856,450.976112,15.872448,0,,0,,10.023587
United Kingdom,GBR,1919,456.13136,447.579584,8.551776,0,,0,,9.802109
